"","sg","nom","Agriculture","Transformation","Emballage","Transport","Supermarché et distribution","Consommation","Total"
"1","fruits","Abricot au sirop léger, appertisé, égoutté",0.14214934,0.24721275,0.29182586,0.21864659,0.026879759,0,0.926714299
"2","fruits","Abricot au sirop léger, appertisé, non égoutté",0.083617259,0.14541927,0.17146364,0.12861564,0.015811623,0,0.544927432
"3","fruits","Abricot au sirop, appertisé, égoutté",0.14465786,0.25157533,0.29698201,0.22250397,0.027354108,0,0.943073278
"4","fruits","Abricot au sirop, appertisé, non égoutté",0.083617259,0.14541927,0.17146364,0.12861564,0.015811623,0,0.544927432
"5","fruits","Abricot, dénoyauté, cru",0.14767705,0,0.35147703,0.28554207,0.015591118,0.080351049,0.880638317
"6","fruits","Abricot, dénoyauté, sec",0.862434,0.3078875,0.28118162,0.33042987,0.020096608,0,1.802029598
"7","fruits","Ananas au sirop et jus d'ananas, appertisé, égoutté",0.34431157,0.38770534,0.28322677,0.37706188,0.026089178,0,1.418394738
"8","fruits","Ananas au sirop et jus d'ananas, appertisé, non égoutté",0.20867368,0.23497293,0.17146364,0.22852288,0.015811623,0,0.859444753
"9","fruits","Ananas au sirop léger, appertisé, égoutté",0.34639831,0.39005507,0.28494909,0.37934851,0.026247295,0,1.426998275
"10","fruits","Ananas au sirop léger, appertisé, non égoutté",0.20867368,0.23497293,0.17146364,0.22852288,0.015811623,0,0.859444753
"11","fruits","Ananas, pulpe, cru",0.36854012,0,0,0.59153752,0.010800276,0.32140419,1.292282106
"12","légumes","Artichaut, appertisé, égoutté",0.64870931,0.4924037,0.28666546,0.3899826,0.026405411,0,1.844166481
"13","légumes","Artichaut, coeur, appertisé, égoutté",0.64870931,0.4924037,0.28666546,0.3899826,0.026405411,0,1.844166481
"14","légumes","Artichaut, cru",1.4243398,0,0,1.0942501,0.072722368,1.2856168,3.876929068
"15","légumes","Artichaut, cuit",0.4159528,0,0.28002043,0.3335497,0.021237259,0.19993027,1.250690459
"16","légumes","Artichaut, fond, appertisé, égoutté",0.64626004,0.51949495,0.32621796,0.43398168,0.030042084,0,1.955996714
"17","légumes","Artichaut, fond, surgelé, cru",0.64415766,0.35880623,0.26232822,0.25189959,0.068654975,0.02525183,1.611098505
"18","légumes","Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0,1.153922833
"19","légumes","Asperge, blanche ou violette, pelée, crue",0.93812691,0,0,0.38261078,0.024289271,0.21428212,1.559309081
"20","légumes","Asperge, bouillie/cuite à l'eau",1.0937324,0,0.33889315,0.46466083,0.02831809,0.32031016,2.24591463
"21","légumes","Asperge, pelée, crue",0.93812691,0,0,0.38261078,0.024289271,0.080351049,1.42537801
"22","légumes","Asperge, verte, crue",0.93812691,0,0,0.38261078,0.024289271,0.21428212,1.559309081
"23","légumes","Aubergine, crue",0.19572714,0,0,0.24073503,0.014917201,0.0057299719,0.4571093429
"24","légumes","Aubergine, cuite",0.21427775,0,0.23106911,0.27509253,0.016331022,0.10755372,0.844324132
"25","légumes","Avocat, pulpe, cru",0.86139181,0,0,0.46369755,0.017811293,0.13756958,1.480470233
"26","légumes","Bambou, pousse, crue",0.7021908,0,0,0.27356253,0.018180592,0.080351049,1.074284971
"27","légumes","Bambou, pousses, appertisées, égouttées",0.63870414,0.28053827,0.32449561,0.39813368,0.029883968,0,1.671755668
