Provider,Model,Active parameters,Total parameters,Token,Tweet,Email,Resume,Petite_conv,Cinq_pages
OpenAI,gpt 4o,137,440,0.0875,4.375,14.874999999999998,21.875,35.0,437.5
OpenAI,Gpt 3.5,45,45,0.00895,0.4475,1.5214999999999999,2.2375,3.58,44.75
OpenAI,gpt 4 ,550,1760,1.1175,55.875,189.975,279.375,447.0,5587.5
OpenAI,gpt 4 turbo,275,880,0.2875,14.374999999999998,48.87499999999999,71.875,114.99999999999999,1437.5
OpenAI,gpt 4o mini,18,18,0.005175,0.25875,0.87975,1.29375,2.07,25.875
Mistral,Mixtral 8x7b v0.1,12,46,0.004325,0.21625,0.73525,1.08125,1.73,21.625
Mistral,Mixtral 8x22b v0.1,39,140,0.016225,0.81125,2.75825,4.05625,6.49,81.125
Mistral,Mathstral 7B,7,7,0.0036249999999999998,0.18125,0.61625,0.9062499999999999,1.45,18.125
Mistral,Codestral 22B v0.1,22,22,0.005725,0.28625,0.9732500000000001,1.43125,2.29,28.625
Mistral,ministral 3b,3,3,0.003075,0.15375,0.52275,0.76875,1.23,15.375
Mistral,mistral large,123,123,0.0199,0.9950000000000001,3.383,4.9750000000000005,7.960000000000001,99.5
Mistral,mistral small,23,23,0.005875,0.29375,0.99875,1.46875,2.35,29.375
Mistral,mistral medium,95,95,0.015975,0.79875,2.71575,3.99375,6.39,79.875
Meta,Llama 3.1 8B,8,8,0.003775,0.18875,0.64175,0.9437500000000001,1.51,18.875
Meta,Llama 3.1 70B,70,70,0.012475,0.62375,2.12075,3.11875,4.99,62.375
Meta,Llama 3.1 405B,405,405,0.23800000000000002,11.9,40.46,59.50000000000001,95.2,1190.0
Meta,Llama 2 7B,7,7,0.0036249999999999998,0.18125,0.61625,0.9062499999999999,1.45,18.125
Meta,Llama 2 13B,13,13,0.004475,0.22375,0.7607499999999999,1.11875,1.79,22.375
Google,Gemma 2 27b,27,27,0.006424999999999999,0.32125,1.09225,1.6062499999999997,2.57,32.12499999999999
Google,Gemma 2 2b,2,2,0.0029249999999999996,0.14625,0.4972499999999999,0.73125,1.17,14.624999999999998
Google,Gemma 2 9b,9,9,0.0039000000000000003,0.195,0.663,0.9750000000000001,1.56,19.5
Google,Gemini 1.0 pro,45,45,0.00895,0.4475,1.5214999999999999,2.2375,3.58,44.75
Google,Gemini 1.5 pro,137,440,0.0875,4.375,14.874999999999998,21.875,35.0,437.5
